***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "18-07-09-03-12-2017"
}
---SESSION HEADER---
Time; Position; Rotation.X; Rotation.Y; Rotation.Virtualizer; Rotation.Controller.x; Rotation.Controller.y; Height.Virtualizer; FPS; Input;
65230.0675;(-15.8044, 2.5100, -33.4400);284.5377;354.6987;264.3750;288.1360;353.8770;17.5260;Infinity;;
65230.0755;(-15.8044, 2.5100, -33.4400);284.6338;354.6086;264.3750;288.1390;353.8881;17.5260;68.4963;;
65230.0870;(-15.8044, 2.5100, -33.4400);284.6340;354.6048;264.3750;288.1387;353.8936;17.5260;71.1075;;
65230.0980;(-15.8044, 2.5100, -33.4400);284.6273;354.6071;264.3750;288.1455;353.9008;17.5260;72.4835;;
65230.1095;(-15.8044, 2.5100, -33.4400);284.6138;354.6223;264.3750;288.1437;353.9155;17.5260;73.9265;;
65230.1206;(-15.8044, 2.5100, -33.4400);284.6127;354.6347;264.3750;288.1477;353.9052;17.5260;75.0934;;
65230.1321;(-15.8044, 2.5100, -33.4400);284.6060;354.6529;264.3750;288.1563;353.9067;17.5260;76.5129;;
65230.1426;(-15.8044, 2.5100, -33.4400);284.6071;354.6750;264.3750;288.1460;353.8889;17.5260;77.3510;;
65230.1541;(-15.8044, 2.5100, -33.4400);284.6073;354.6833;264.3750;288.1489;353.8891;17.5260;78.6983;;
65230.1651;(-15.8044, 2.5100, -33.4400);284.6128;354.7041;264.3750;288.1400;353.8843;17.5260;79.6546;;
65230.1851;(-15.8044, 2.5100, -33.4400);284.6146;354.7072;264.3750;288.1283;353.8871;17.5260;80.5827;;
65230.1916;(-15.8044, 2.5100, -33.4400);284.6183;354.7066;264.3750;288.1297;353.8889;17.5260;75.9634;;
65230.2096;(-15.8044, 2.5100, -33.4400);284.6299;354.7111;264.3750;288.1406;353.9033;17.5260;83.6912;;
65230.2212;(-15.8044, 2.5100, -33.4400);284.6265;354.6895;264.3750;288.1368;353.9058;17.5260;84.2308;;
65230.2322;(-15.8044, 2.5100, -33.4400);284.6217;354.6772;264.3750;288.1430;353.9130;17.5260;84.6386;;
65230.2432;(-15.8044, 2.5100, -33.4400);284.6230;354.6649;264.3750;288.1514;353.9113;17.5260;85.2338;;
65230.2542;(-15.8044, 2.5100, -33.4400);284.6274;354.6529;264.3750;288.1566;353.9230;17.5260;85.6684;;
65230.2653;(-15.8044, 2.5100, -33.4400);284.6182;354.6135;264.3750;288.1627;353.9140;17.5260;86.0373;;
65230.2763;(-15.8044, 2.5100, -33.4400);284.6288;354.5865;264.3750;288.1506;353.9073;17.5260;86.4107;;
65230.2883;(-15.8044, 2.5100, -33.4400);284.6153;354.5463;264.3750;288.1529;353.9035;17.5260;86.8388;;
65230.2993;(-15.8044, 2.5100, -33.4400);284.6281;354.5158;264.3750;288.1454;353.9029;17.5260;86.5262;;
65230.3103;(-15.8044, 2.5100, -33.4400);284.6259;354.4740;264.3750;288.1429;353.9139;17.5260;87.2374;;
65230.3218;(-15.8044, 2.5100, -33.4400);284.6263;354.4089;264.3750;288.1406;353.9065;17.5260;87.3295;;
65230.3328;(-15.8044, 2.5100, -33.4400);284.6308;354.3602;264.3750;288.1395;353.9135;17.5260;87.4135;;
65230.3438;(-15.8044, 2.5100, -33.4400);284.6279;354.3063;264.3750;288.1349;353.9132;17.5260;87.7943;;
65230.3549;(-15.8044, 2.5100, -33.4400);284.6175;354.2444;264.3750;288.1489;353.9141;17.5260;88.0004;;
65230.3664;(-15.8044, 2.5100, -33.4400);284.6301;354.2076;264.3750;288.1562;353.9075;17.5260;88.3572;;
65230.3774;(-15.8044, 2.5100, -33.4400);284.6511;354.1995;264.3750;288.1607;353.8945;17.5260;88.2686;;
65230.3884;(-15.8044, 2.5100, -33.4400);284.6564;354.1887;264.3750;288.1597;353.8943;17.5260;88.2127;;
65230.3999;(-15.8044, 2.5100, -33.4400);284.6613;354.1781;264.3750;288.1493;353.9040;17.5260;88.5193;;
65230.4109;(-15.8044, 2.5100, -33.4400);284.6569;354.1749;264.3750;288.1404;353.9181;17.5260;88.5539;;
