***SESSION HEADER***
{
  "Participant": "1003",
  "Timestamp": "13-29-31-12-06-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
322.0988;(-43.2045, 2.5335, 76.0839);225.0571;3.3629;Infinity;;
322.1204;(-43.2047, 2.5333, 76.0835);225.0947;3.4592;214.4191;;
322.1752;(-43.2047, 2.5332, 76.0831);225.0867;3.5061;144.8721;;
322.2202;(-43.2045, 2.5333, 76.0828);225.0559;3.4731;119.0471;;
322.2647;(-43.2046, 2.5333, 76.0825);225.0511;3.4802;107.2374;;
322.3207;(-43.2050, 2.5333, 76.0820);225.1162;3.4940;99.1893;;
322.3654;(-43.2053, 2.5332, 76.0817);225.1509;3.5350;95.6467;;
322.4212;(-43.2053, 2.5330, 76.0810);225.1200;3.6157;92.9741;;
322.4657;(-43.2054, 2.5330, 76.0802);225.0553;3.6519;91.7197;;
322.5218;(-43.2045, 2.5322, 76.0786);224.5187;3.9628;90.8742;;
322.5663;(-43.2017, 2.5306, 76.0756);223.0462;4.5863;90.4236;;
322.6221;(-43.1943, 2.5277, 76.0686);219.4684;5.6501;90.0603;;
322.6671;(-43.1858, 2.5243, 76.0619);215.8026;6.8293;89.6066;;
322.7229;(-43.1767, 2.5207, 76.0549);212.0136;8.1997;89.4805;;
322.7675;(-43.1722, 2.5200, 76.0503);210.0427;8.4657;89.5874;;
322.8233;(-43.1674, 2.5252, 76.0462);208.2592;6.9693;89.5751;;
322.8680;(-43.1621, 2.5323, 76.0444);206.7280;4.7895;89.7822;;
322.9238;(-43.1568, 2.5407, 76.0445);205.6134;2.4138;89.4183;;
322.9684;(-43.1537, 2.5478, 76.0455);205.3819;0.3390;89.4941;;
323.0247;(-43.1513, 2.5558, 76.0486);205.7223;357.7817;89.6392;;
323.0690;(-43.1497, 2.5627, 76.0516);206.0449;355.5580;89.6800;;
323.1159;(-43.1481, 2.5675, 76.0550);206.4417;353.9564;88.8541;;
323.1695;(-43.1466, 2.5723, 76.0586);206.8268;352.3594;89.6021;;
323.2161;(-43.1454, 2.5743, 76.0608);207.0566;351.7510;89.4942;;
323.2706;(-43.1448, 2.5763, 76.0626);207.4332;350.9518;89.4537;;
323.3166;(-43.1440, 2.5776, 76.0636);207.5744;350.4503;89.6288;;
323.3710;(-43.1432, 2.5781, 76.0644);207.7348;350.1907;89.4841;;
323.4167;(-43.1420, 2.5786, 76.0647);207.5962;350.0197;89.7837;;
323.4712;(-43.1403, 2.5796, 76.0648);207.4770;349.6829;89.5024;;
323.5177;(-43.1391, 2.5802, 76.0650);207.4366;349.5176;89.5351;;
323.5719;(-43.1372, 2.5814, 76.0649);207.2332;349.2268;89.5083;;
323.6180;(-43.1359, 2.5818, 76.0649);207.1321;349.1587;89.5068;;
323.6725;(-43.1346, 2.5824, 76.0651);207.0813;348.9844;89.5159;;
323.7189;(-43.1328, 2.5831, 76.0649);206.8184;348.7914;89.2756;;
323.7728;(-43.1312, 2.5839, 76.0647);206.6445;348.5904;89.4082;;
323.8192;(-43.1296, 2.5833, 76.0644);206.4390;348.8567;89.4278;;
323.8735;(-43.1275, 2.5828, 76.0635);206.1645;349.0876;89.5458;;
323.9199;(-43.1257, 2.5824, 76.0631);206.0319;349.2839;89.5722;;
323.9738;(-43.1231, 2.5818, 76.0629);205.6936;349.6294;89.5242;;
324.0201;(-43.1213, 2.5819, 76.0626);205.5788;349.6868;89.6086;;
324.0745;(-43.1193, 2.5817, 76.0624);205.4839;349.9274;89.5177;;
324.1209;(-43.1177, 2.5821, 76.0619);205.4674;349.9037;89.3337;;
324.1748;(-43.1155, 2.5824, 76.0616);205.2894;349.9419;89.5736;;
324.2209;(-43.1135, 2.5825, 76.0610);205.1063;350.0081;89.6846;;
324.2643;(-43.1114, 2.5823, 76.0604);205.0948;350.1779;89.5642;;
324.3202;(-43.1095, 2.5820, 76.0595);205.1524;350.5551;89.5749;;
324.3651;(-43.1074, 2.5822, 76.0588);205.3051;350.6724;89.6098;;
324.4206;(-43.1051, 2.5826, 76.0581);205.4212;350.9022;89.6354;;
324.4653;(-43.1031, 2.5823, 76.0573);205.5704;351.2186;89.5567;;
324.5212;(-43.1015, 2.5819, 76.0565);205.8858;351.7502;89.5727;;
324.5660;(-43.0996, 2.5818, 76.0552);206.0582;352.0145;89.4878;;
324.6220;(-43.0970, 2.5816, 76.0537);206.1456;352.4345;89.4328;;
324.6665;(-43.0942, 2.5818, 76.0525);206.2147;352.5795;89.3855;;
324.7222;(-43.0905, 2.5825, 76.0513);206.2863;352.6592;89.4825;;
324.7668;(-43.0875, 2.5833, 76.0505);206.3708;352.7178;89.6747;;
324.8227;(-43.0835, 2.5846, 76.0498);206.4743;352.7512;89.6054;;
324.8676;(-43.0801, 2.5856, 76.0496);206.5654;352.7041;89.7127;;
324.9233;(-43.0755, 2.5873, 76.0496);206.6840;352.5943;89.6577;;
324.9680;(-43.0712, 2.5889, 76.0494);206.6412;352.3409;89.7030;;
325.0239;(-43.0656, 2.5908, 76.0489);206.5958;351.9075;89.4969;;
325.0688;(-43.0610, 2.5919, 76.0479);206.6091;351.6824;89.5987;;
325.1245;(-43.0551, 2.5926, 76.0460);206.7594;351.5914;89.6739;;
325.1691;(-43.0503, 2.5930, 76.0438);207.0204;351.4863;89.5529;;
325.2253;(-43.0444, 2.5932, 76.0401);207.4969;351.3148;89.4347;;
325.2697;(-43.0393, 2.5925, 76.0364);207.8260;351.4058;89.5191;;
325.3156;(-43.0341, 2.5914, 76.0318);208.1691;351.6211;89.5893;;
325.3702;(-43.0274, 2.5892, 76.0256);208.4307;352.1039;89.6321;;
325.4164;(-43.0211, 2.5870, 76.0200);208.6034;352.5978;89.6147;;
325.4705;(-43.0127, 2.5834, 76.0134);208.9002;353.3876;89.5617;;
325.5167;(-43.0052, 2.5805, 76.0093);209.1147;354.0106;89.5900;;
325.5712;(-42.9948, 2.5780, 76.0052);209.2974;354.5209;89.5588;;
325.6174;(-42.9860, 2.5770, 76.0029);209.3645;354.6606;89.6400;;
325.6716;(-42.9741, 2.5769, 76.0006);209.2651;354.4683;89.6560;;
325.7179;(-42.9654, 2.5776, 75.9995);209.4924;354.0821;89.4853;;
325.7723;(-42.9547, 2.5781, 75.9985);209.9467;353.5816;89.3852;;
325.8185;(-42.9468, 2.5785, 75.9979);210.2345;353.1330;89.5557;;
325.8727;(-42.9384, 2.5796, 75.9976);210.4711;352.5258;89.6463;;
325.9189;(-42.9331, 2.5814, 75.9984);210.6337;352.0157;89.4660;;
325.9732;(-42.9284, 2.5852, 76.0007);210.6548;351.2758;89.5722;;
326.0197;(-42.9259, 2.5893, 76.0031);210.6559;350.4461;89.4842;;
